"ID","UPA","EventDate","Employer","Address1","Address2","City","State","Zip","Latitude","Longitude","Primary NAICS","Hospitalized","Amputation","Inspection","Final Narrative","Nature","NatureTitle","Part of Body","Part of Body Title","Event","EventTitle","Source","SourceTitle","Secondary Source","Secondary Source Title"
"20161110512","1154702",11/8/2016,"M & M Electrical Contractors","363 Tacoma Ave",,"TALLMADGE","OHIO","44278",41.09,-81.46,"238210",1.00,0.00,,"An employee was operating wire pulling equipment when the glove on his left hand was caught in a rope, which pulled his arms and body into the equipment. His left thumb was amputated and he required surgery for right wrist and arm injuries.","1311","Amputations","4429","Finger(s), fingernail(s), n.e.c.","6412","Caught in running equipment or machinery during regular operation","3499","Material and personnel handling machinery, n.e.c.","9111","Belts, gloves, neckties, scarves"
"20161110513","1161600",11/8/2016,"Parker Electric Company, Inc.","1120 E. Hefner Road",,"OKLAHOMA CITY","OKLAHOMA","73131",35.57,-97.49,"238210",1.00,0.00,"1168531","An employee received an electrical shock of 277 volts while installing commercial light fixtures.","193","Electrocutions, electric shocks","6","BODY SYSTEMS","5112","Direct exposure to electricity, greater than 220 volts","2241","Lamps, light fixtures",,
"20161110514","1154566",11/8/2016,"United Parcel Service Co.","8901 Atlantic Ave.",,"ORLANDO","FLORIDA","32824",28.43,-81.35,"492110",1.00,0.00,,"An employee slipped off a rung while descending a fixed ladder. The employee used a hand to cover the face to avoid a direct strike and suffered a left wrist injury that required surgery.","1972","Soreness, pain, hurt-nonspecified injury","43","Wrist(s)","40","Fall, slip, trip, unspecified ","741","Ladders-fixed",,
"20161110515","1154732",11/8/2016,"Rockpile Well Services, LLC","Near intersection ","Highway 22 & BIA 14","MANDAREE","NORTH DAKOTA","58757",47.73,-102.67,"213112",1.00,0.00,"1191573","An employee was struck by a counterweight while adjusting lines during workover rigging activities. The employee suffered facial injuries and a fractured eye socket.","111","Fractures","132","Eye(s)","620","Struck by object or equipment, unspecified","3244","Oil drilling rigs and machinery",,
"20161110516","1154700",11/8/2016,"Brookdale Senior Living, Inc.","1001 SW 62nd Blvd.",,"GAINESVILLE","FLORIDA","32607",29.64,-82.39,"623312",1.00,0.00,,"An employee was transferring water from one pot to another when the hot water spilled onto both feet, causing third degree burns that required hospitalization.","1523","Third or fourth degree heat (thermal) burns","530","Foot (feet), unspecified","533","Contact with hot objects or substances","9521","Water",,
"20161110518","1154537",11/8/2016,"CRANE FREIGHT","8281 NW 107TH TERR",,"KANSAS CITY","MISSOURI","64153",39.28,-94.67,"336991",1.00,0.00,"1190580","An employee struck a pole while driving a forklift and was ejected. The employee lost consciousness, suffered a neck injury, and was hospitalized.","1972","Soreness, pain, hurt-nonspecified injury","81","Head and neck","2729","Nonroadway collision with object other than vehicle, n.e.c.","8621","Forklift, order picker, platform truck-powered","659","Structural elements, n.e.c."
"20161110519","1154528",11/8/2016,"County Materials Corp.","1104 E. L T Townline Road",,"JANESVILLE","WISCONSIN","53546",42.58,-89.00,"327331",0.00,1.00,,"An employee was attempting to close the safety clasp on a lifting hook when his right middle finger became stuck in the clasp and was partially amputated.","1311","Amputations","4420","Finger(s), fingernail(s), unspecified","642","Compressed or pinched by shifting objects or equipment","432","Hooks, shackles, magnets, clamshells",,
"20161110520","1154784",11/8/2016,"Swire Pacific Holdings, Inc.","9900 E. 40th Ave.",,"DENVER","COLORADO","80237",39.77,-104.87,"423740",1.00,0.00,,"An employee was being trained on an electric pallet jack when he swerved into a parked semi truck. His left leg was caught between the truck and the pallet jack, breaking it.","111","Fractures","510","Leg(s), unspecified","2713","Collision between a moving and standing vehicle, nonroadway","8623","Pallet jack-powered","8421","Semi, tractor-trailer, tanker truck"
"20161110521","1154338",11/8/2016,"CERRO FLOW PRODUCTS, LLC","3000 MISSISSIPPI AVENUE",,"EAST SAINT LOUIS","ILLINOIS","62206",38.59,-90.17,"331421",1.00,0.00,"1191518","An employee had just finished a maintenance function on the de-burring machine and was in the process of starting it back up. The employee was then caught between the hopper and de-burring table, suffering a crushing injury to the upper left chest, including a fractured scapula and extensive bruising. The employee was hospitalized overnight. The machine was running at the time of the incident.","111","Fractures","41","Shoulder(s), including clavicle(s), scapula(e)","6412","Caught in running equipment or machinery during regular operation","3599","Metal, woodworking, and special material machinery, n.e.c.",,
"20161110522","1154489",11/8/2016,"Elm Creek Grain LLC","302 Hutchins Ave.",,"BALLINGER","TEXAS","76821",31.74,-99.94,"115111",0.00,1.00,,"An employee was trying to pry a bar away from a lint cleaner drum when the pry bar slipped, catching the employee's left little finger and amputating it at the first knuckle.","1311","Amputations","4429","Finger(s), fingernail(s), n.e.c.","6252","Injured by slipping or swinging object held by injured worker","7192","Crowbars",,
"20161110524","1154851",11/8/2016,"Merchants Foodservice","7833 Magnolia Industrial Boulevard",,"TIFTON","GEORGIA","31794",31.40,-83.49,"424410",1.00,0.00,,"An employee's left foot was crushed and lacerated between a forklift and a shelving guardrail as he stepped off the lift. The forklift was moving at the time.","1971","Crushing injuries","530","Foot (feet), unspecified","6211","Caught between rolling powered vehicle and other object","8621","Forklift, order picker, platform truck-powered","6391","Guardrails, road dividers"
"20161110525","1154312",11/8/2016,"Swift Transportation Co., Inc.","7400 S. Gartrell Rd.",,"AURORA","COLORADO","80016",39.59,-104.72,"484110",1.00,0.00,,"A truck rolled over both of an employee's legs after the employee exited the vehicle, fracturing both of the employee's ankles.","111","Fractures","52","Ankle(s)","6212","Struck or run over by rolling powered vehicle","8420","Truck-motorized freight hauling and utility, unspecified",,
